# 动漫番号数据库
# 每行一个番号前缀，可以添加注释
# 格式：前缀,注释（可选）
GLOD,动漫番号
HUNTB,动漫番号
ANIM,动漫番号
OVA,动漫番号
HODV,动漫番号
HMN,动漫番号
HND,动漫番号
HONE,动漫番号
JDXA,动漫番号
KAGU,动漫番号
KIDM,动漫番号
KIDZ,动漫番号
MILD,动漫番号
MIMK,动漫番号
MIRD,动漫番号
MIST,动漫番号
MUM,动漫番号
NACR,动漫番号
NATR,动漫番号
NOP,动漫番号
NTR,动漫番号
# OAE,动漫番号 - 用户报告OAE-235被误判，已移除
# OFJE,动漫番号 - 用户报告OFJE-604被误判，已移除
OBA,动漫番号
OBD,动漫番号
OBE,动漫番号
OBS,动漫番号
OCC,动漫番号
OCE,动漫番号
OCU,动漫番号
ODE,动漫番号
ODV,动漫番号
OFA,动漫番号
OGPP,动漫番号
OGR,动漫番号
OHD,动漫番号
OIN,动漫番号
OKI,动漫番号
OKS,动漫番号
OLB,动漫番号
OLD,动漫番号
OMC,动漫番号
OME,动漫番号
OMF,动漫番号
OMG,动漫番号
OMH,动漫番号
OMI,动漫番号
OMK,动漫番号
OMM,动漫番号
OMN,动漫番号
OMO,动漫番号
OMU,动漫番号
OMX,动漫番号
ONI,动漫番号
ONYX,动漫番号
OOP,动漫番号
OOT,动漫番号
OPC,动漫番号
OPD,动漫番号
OPE,动漫番号
OPF,动漫番号
OPG,动漫番号
OPH,动漫番号
OPI,动漫番号
OPJ,动漫番号
OPK,动漫番号
OPL,动漫番号
OPM,动漫番号
OPN,动漫番号
OPO,动漫番号
OPP,动漫番号
OPQ,动漫番号
OPR,动漫番号
OPS,动漫番号
OPT,动漫番号
OPU,动漫番号
OPV,动漫番号
OPW,动漫番号
OPX,动漫番号
OPY,动漫番号
OPZ,动漫番号
ORC,动漫番号
ORD,动漫番号
ORE,动漫番号
ORF,动漫番号
ORG,动漫番号
ORH,动漫番号
ORI,动漫番号
ORJ,动漫番号
ORK,动漫番号
ORL,动漫番号
ORM,动漫番号
ORN,动漫番号
ORO,动漫番号
ORP,动漫番号
ORQ,动漫番号
ORR,动漫番号
ORS,动漫番号
ORT,动漫番号
ORU,动漫番号
ORV,动漫番号
ORW,动漫番号
ORX,动漫番号
ORY,动漫番号
ORZ,动漫番号
OSR,动漫番号
OTD,动漫番号
OTK,动漫番号
OTM,动漫番号
OTN,动漫番号
OTO,动漫番号
OTP,动漫番号
OTR,动漫番号
OTS,动漫番号
OTT,动漫番号
OTU,动漫番号
OTV,动漫番号
OTW,动漫番号
OTX,动漫番号
OTY,动漫番号
OTZ,动漫番号
OVG,动漫番号
OVS,动漫番号
OWA,动漫番号
OWD,动漫番号
OWE,动漫番号
OWG,动漫番号
OWH,动漫番号
OWI,动漫番号
OWJ,动漫番号
OWK,动漫番号
OWL,动漫番号
OWM,动漫番号
OWN,动漫番号
OWO,动漫番号
OWP,动漫番号
OWQ,动漫番号
OWR,动漫番号
OWS,动漫番号
OWT,动漫番号
OWU,动漫番号
OWV,动漫番号
OWW,动漫番号
OWX,动漫番号
OWY,动漫番号
OWZ,动漫番号
